id,audio_file,text,contest_type,sample_type,wpm,condition,duration
15,morse_000015.wav,JL5TRB 599 ?,ARRLDX,partial,40,dx_expedition,5.706375
16,morse_000016.wav,CQ TEST CQ TEST DE IW2DKS IW2DKS K,CQWPX,cq,40,dx_expedition,11.185625
17,morse_000017.wav,CQ CQ CQ DE DA6OK DA6OK DA6OK,FIELD_DAY,cq,36,clean,12.6155
18,morse_000018.wav,CQ TEST CQ TEST DE JS2GA JS2GA K JS2GA DE WW2BH 7T301 B 42 SFL K WW? WW? JS2GA DE WW2BH 7T301 B 42 SFL K TU 3701 B 58 SF JS2GA TU QRZ? WW2BH,SWEEPSTAKES,qso,38,contest_good,56.9429375
19,morse_000019.wav,KJ1LV 599 8T633,CQWPX,exchange,32,contest_poor,8.6250625
20,morse_000020.wav,RH7DGY 3A DE,FIELD_DAY,exchange,18,clean,9.55125
21,morse_000021.wav,CQ TEST CQ TEST DE RR0REM RR0REM K RR0REM DE VE5LZC 599 1500 K R 599 100 TU QSL TU TEST VE5LZC,ARRLDX,qso,30,clean,46.0106875
22,morse_000022.wav,TEST RS9HK RS9HK TEST RS9HK GJ3R3 JACK HI CALL? RS9HK GJ3R3 JACK HI R FRANK OR TU 73 GL GJ3R3 TEST,NAQP,qso,15,dx_expedition,92.18525
23,morse_000023.wav,VK9ZP STEVE NY,NAQP,exchange,39,contest_moderate,5.2943125
24,morse_000024.wav,TEST VO1OJ VO1OJ TEST,FIELD_DAY,cq,15,contest_moderate,19.712875
25,morse_000025.wav,TEST K8RX K8RX TEST,CQWPX,cq,31,dx_expedition,8.1039375
26,morse_000026.wav,CQ CQ CQ DE RU0VS RU0VS RU0VS RU0VS JB3UF 4733 KATE WV 630 LIZ MT GL QSL TU TEST JB3UF,SPRINT,qso,16,contest_good,80.3191875
27,morse_000027.wav,EB5QMG 599 3825,CQWPX,exchange,29,clean,8.9931875
28,morse_000028.wav,VA8IKY 599 54,IARU,exchange,15,contest_moderate,15.0141875
29,morse_000029.wav,CQ TEST CQ TEST DE DA3ZRM DA3ZRM K,CQWW,cq,27,contest_moderate,16.9211875
30,morse_000030.wav,IK?,SWEEPSTAKES,partial,21,dx_expedition,2.34275
31,morse_000031.wav,TEST NF4QSQ NF4QSQ TEST,ARRLDX,cq,33,clean,9.222375
32,morse_000032.wav,VA1IJ 599 KW,ARRLDX,exchange,31,contest_moderate,7.1659375
33,morse_000033.wav,JR1Z?,ARRLDX,partial,15,clean,6.664125
34,morse_000034.wav,TEST I2SK I2SK TEST,CQWW,cq,27,contest_poor,8.36775
35,morse_000035.wav,TEST IZ7TNJ IZ7TNJ TEST,NAQP,cq,18,contest_poor,15.289125
36,morse_000036.wav,CQ CQ CQ DE JA4AV JA4AV JA4AV JA4AV UG2IOC 599 8736 TU 599 731 JA4AV QSL TU TEST UG2IOC,CQWPX,qso,32,contest_good,42.000875
37,morse_000037.wav,CQ CQ CQ DE KG3NKI KG3NKI KG3NKI KG3NKI 599 6 M34ZPX NR? NR? KG3NKI 599 6 M34ZPX R 599 1 TU TU QRZ? M34ZPX,IARU,qso,28,contest_moderate,59.6954375
38,morse_000038.wav,DI5GB 8279 PAUL MI,SPRINT,exchange,26,contest_poor,10.9134375
39,morse_000039.wav,EG1BUA 599 2,CQWW,exchange,28,contest_poor,7.3343125
40,morse_000040.wav,TEST IU9GOC IU9GOC TEST IU9GOC NX4TGP 599 36 R 599 5 TU QSL TU TEST NX4TGP,CQWW,qso,23,dx_expedition,45.6400625
41,morse_000041.wav,CQ CQ CQ DE RF5AY RF5AY RF5AY,FIELD_DAY,cq,35,contest_good,13.117625
42,morse_000042.wav,WM1?,CQWPX,partial,35,dx_expedition,2.6931875
43,morse_000043.wav,CQ CQ CQ DE RD3SG RD3SG RD3SG RD3SG 599 9T215 DG2TZU 559 9089 GL QSL TU TEST DG2TZU,CQWPX,qso,27,dx_expedition,47.618
44,morse_000044.wav,CQ CQ CQ DE DF8GA DF8GA DF8GA,SPRINT,cq,22,clean,20.5029375
45,morse_000045.wav,CQ TEST CQ TEST DE EC8NK EC8NK K,CQWPX,cq,29,contest_moderate,14.4891875
46,morse_000046.wav,CQ TEST CQ TEST DE IW6UP IW6UP K,FIELD_DAY,cq,40,clean,10.7698125
47,morse_000047.wav,TEST NT6BL NT6BL TEST NT6BL EG1MZZ 7A NM QRZ? DE NT6BL NT6BL EG1MZZ 7A NM 2A IL GL 73 GL EG1MZZ TEST,FIELD_DAY,qso,27,contest_good,50.9134375
48,morse_000048.wav,WB0?,SPRINT,partial,16,clean,5.0511875
49,morse_000049.wav,IZ7AOO 599 KW,ARRLDX,exchange,39,dx_expedition,6.0166875
50,morse_000050.wav,VO7OUL 3T008 FRANK TN,SPRINT,exchange,29,contest_good,11.241875
51,morse_000051.wav,NL8I?,SPRINT,partial,37,dx_expedition,2.5648125
52,morse_000052.wav,CQ CQ CQ DE JN2VC JN2VC JN2VC JN2VC DE RJ2PI 3T930 MIKE MO K CALL? JN2VC DE RJ2PI 3T930 MIKE MO K R 9T633 MIKE NY TU QSL TU TEST RJ2PI,SPRINT,qso,31,dx_expedition,65.3666875
53,morse_000053.wav,CQ CQ CQ DE RQ4OEP RQ4OEP RQ4OEP RQ4OEP 599 23 DC4QT 599 81 GL 73 GL DC4QT TEST,IARU,qso,32,contest_poor,39.1075625
54,morse_000054.wav,CQ CQ CQ DE WI1IX WI1IX WI1IX WI1IX 2A MB DI2JOA R 4A MN TU QSL TU TEST DI2JOA,FIELD_DAY,qso,33,dx_expedition,33.9639375
55,morse_000055.wav,UG2DW BOB FL,NAQP,exchange,40,contest_poor,4.966875
56,morse_000056.wav,JE1I?,FIELD_DAY,partial,21,contest_good,3.8925625
57,morse_000057.wav,IZ6HKK 599 1,CQWW,exchange,19,contest_moderate,11.1276875
58,morse_000058.wav,TEST IU6E0 IU6E0 TEST IU6E0 GARY HI IZ2HW R LIZ NH TU TU QRZ? IZ2HW,NAQP,qso,25,contest_moderate,36.44775
59,morse_000059.wav,NV0JV 559 4,CQWW,exchange,29,clean,7.0220625
60,morse_000060.wav,JC7GR 569 KW,ARRLDX,exchange,35,contest_good,6.4653125
61,morse_000061.wav,TEST I9FAO I9FAO TEST I9FAO DN2RSU 2666 A 36 QC 104 B 34 SNJ GL 73 GL DN2RSU TEST,SWEEPSTAKES,qso,34,contest_moderate,34.905375
62,morse_000062.wav,CQ TEST CQ TEST DE JS6KK JS6KK K,CQWPX,cq,20,contest_good,22.0473125
63,morse_000063.wav,M07AN 599 38,CQWW,exchange,19,contest_poor,11.6413125
64,morse_000064.wav,WF1?,CQWPX,partial,40,contest_moderate,2.1355
65,morse_000065.wav,CQ CQ CQ DE LO7IK LO7IK LO7IK LO7IK 599 2294 2E6VXX LO7IK AGN LO7IK 599 2294 2E6VXX TU 599 8T611 LO7IK TU QRZ? 2E6VXX,CQWPX,qso,20,contest_moderate,94.5376875
66,morse_000066.wav,EC1WMN 8300 A 63 EMA,SWEEPSTAKES,exchange,34,contest_poor,9.940125
67,morse_000067.wav,JF1O?,SWEEPSTAKES,partial,18,dx_expedition,5.6304375
68,morse_000068.wav,TEST IQ7C0 IQ7C0 TEST IQ7C0 DE JM3PG 599 26 K R 569 15 TU 73 GL JM3PG TEST,CQWW,qso,26,dx_expedition,43.631625
69,morse_000069.wav,CQ TEST CQ TEST DE NG5QA NG5QA K NG5QA DE AY1NE 1174 B 54 MN K AY1? AY1? NG5QA DE AY1NE 1174 B 54 MN K R 9502 Q 92 NNJ TU TU QRZ? AY1NE,SWEEPSTAKES,qso,26,dx_expedition,78.2345625
70,morse_000070.wav,CQ CQ CQ DE I9S7 I9S7 I9S7 I9S7 GI8ED 599 5T521 CALL? I9S7 GI8ED 599 5T521 R 599 1988 TU TU QRZ? GI8ED,CQWPX,qso,19,contest_good,85.450125
71,morse_000071.wav,GW9DNH 599 5090,CQWPX,exchange,18,dx_expedition,15.3146875
72,morse_000072.wav,AZ0NON 589 ?,CQWW,partial,17,clean,11.9936875
73,morse_000073.wav,DE?,NAQP,partial,22,dx_expedition,2.123125
74,morse_000074.wav,TEST JI5RI JI5RI TEST,IARU,cq,23,contest_moderate,10.5491875
75,morse_000075.wav,DP4E?,SPRINT,partial,37,dx_expedition,2.24175
76,morse_000076.wav,IZ2JVK 579 KW,ARRLDX,exchange,29,contest_good,7.7861875
77,morse_000077.wav,F4AXY KEN IL,NAQP,exchange,28,contest_poor,6.1126875
78,morse_000078.wav,DP?,ARRLDX,partial,32,clean,2.02725
79,morse_000079.wav,PX?,CQWPX,partial,23,contest_moderate,3.1319375
80,morse_000080.wav,DB2VI 5T537 SUE MI,SPRINT,exchange,17,contest_moderate,14.5200625
81,morse_000081.wav,CQ TEST CQ TEST DE IW7OVQ IW7OVQ K IW7OVQ 176 FRED TN I7HFJ TU 2T798 ANN OH IW7OVQ TU QRZ? I7HFJ,SPRINT,qso,35,contest_poor,40.216625
82,morse_000082.wav,RO2?,SWEEPSTAKES,partial,21,contest_moderate,3.920625
83,morse_000083.wav,RW3ND?,FIELD_DAY,partial,37,contest_poor,2.6319375
84,morse_000084.wav,CQ TEST CQ TEST DE GW8VBS GW8VBS K,IARU,cq,25,dx_expedition,18.4913125
85,morse_000085.wav,IU6WDA DAN ?,NAQP,partial,31,contest_poor,5.293
86,morse_000086.wav,CQ TEST CQ TEST DE JP1VG0 JP1VG0 K,SPRINT,cq,19,clean,27.1235
87,morse_000087.wav,JE4FNL 599 ?,CQWPX,partial,22,contest_poor,9.5213125
88,morse_000088.wav,2E2NZ GEORGE ID,NAQP,exchange,35,dx_expedition,6.144375
89,morse_000089.wav,CQ CQ CQ DE F8UJ F8UJ F8UJ,IARU,cq,29,dx_expedition,14.999375
90,morse_000090.wav,JN2NR 1316 ?,SPRINT,partial,24,contest_moderate,9.3690625
91,morse_000091.wav,VA4ZFE 599 ?,ARRLDX,partial,32,clean,6.219125
92,morse_000092.wav,AZ?,CQWW,partial,29,contest_good,2.0653125
93,morse_000093.wav,DK7FN 599 5,CQWW,exchange,38,contest_moderate,5.37925
94,morse_000094.wav,CQ CQ CQ DE DO3QJJ DO3QJJ DO3QJJ,SPRINT,cq,27,contest_moderate,20.5051875
95,morse_000095.wav,CQ CQ CQ DE F7TA F7TA F7TA F7TA DE IZ7JQ 1948 JANE MO K 9229 ED TX GL TU QRZ? IZ7JQ,SPRINT,qso,22,dx_expedition,57.844
96,morse_000096.wav,CQ CQ CQ DE AE1PDE AE1PDE AE1PDE AE1PDE NM1NWV 599 6 TU 599 33 AE1PDE TU QRZ? NM1NWV,CQWW,qso,29,dx_expedition,42.649375
97,morse_000097.wav,M6?,IARU,partial,38,dx_expedition,2.0129375
98,morse_000098.wav,RA0IQC SAM ME,NAQP,exchange,18,contest_good,9.9336875
99,morse_000099.wav,JS0RQ 599 4677,CQWPX,exchange,18,dx_expedition,14.454875
